company_id,company_name,founder_name,ein,sector,state,city,date_founded,website,category,unicorn_score,growth_trajectory,funding_stage,employee_range,revenue_estimate,last_updated
A5K-00001,NeuralSync Technologies,Dr. Sarah Chen,12-3456789,Healthcare/Biotech,CA,San Francisco,2022-03-15,https://neuralsync.example.com,mega-winner,94.2,exponential,Series A,25-50,1000000-5000000,2024-12-01
A5K-00002,QuantumLeap AI,Michael Rodriguez,98-7654321,AI/Machine Learning,MA,Cambridge,2021-11-22,https://quantumleap.example.com,mega-winner,92.8,exponential,Series B,51-100,5000000-10000000,2024-12-01
A5K-00003,BioRegen Solutions,Dr. Emily Nakamura,45-6789012,Healthcare/Biotech,NC,Research Triangle,2022-01-08,https://bioregen.example.com,mega-winner,91.5,exponential,Series A,25-50,1000000-5000000,2024-12-01
A5K-00004,CleanGrid Energy,James Washington,23-4567890,CleanTech/Energy,TX,Austin,2021-09-10,https://cleangrid.example.com,potential-unicorn,87.3,strong,Seed,11-25,500000-1000000,2024-12-01
A5K-00005,DataFusion Analytics,Priya Patel,67-8901234,Enterprise SaaS,NY,New York,2022-04-18,https://datafusion.example.com,potential-unicorn,86.1,strong,Series A,25-50,1000000-5000000,2024-12-01
A5K-00006,AgriTech Innovations,Robert Mueller,89-0123456,AgTech,IA,Des Moines,2021-07-25,https://agritech.example.com,potential-unicorn,84.9,strong,Seed,11-25,500000-1000000,2024-12-01
A5K-00007,SecureChain Systems,Lisa Thompson,34-5678901,Cybersecurity,VA,Arlington,2022-02-14,https://securechain.example.com,potential-unicorn,83.7,strong,Series A,25-50,1000000-5000000,2024-12-01
A5K-00008,EduNext Platform,Carlos Martinez,56-7890123,EdTech,AZ,Phoenix,2021-12-03,https://edunext.example.com,potential-unicorn,82.4,strong,Seed,11-25,500000-1000000,2024-12-01
A5K-00009,RoboLogistics Inc,Amanda Foster,78-9012345,Robotics/Automation,MI,Detroit,2022-05-20,https://robologistics.example.com,potential-unicorn,81.8,strong,Series A,25-50,1000000-5000000,2024-12-01
A5K-00010,HealthMonitor Pro,Kevin Park,90-1234567,Healthcare/Biotech,WA,Seattle,2021-10-11,https://healthmonitor.example.com,potential-unicorn,80.6,strong,Seed,11-25,500000-1000000,2024-12-01
A5K-00011,SpaceTech Ventures,Alexandra Kim,12-3456788,Aerospace,CA,Los Angeles,2022-01-30,https://spacetech.example.com,potential-unicorn,79.5,moderate,Seed,11-25,500000-1000000,2024-12-01
A5K-00012,FinSecure Systems,David Goldstein,23-4567891,FinTech,NY,New York,2021-08-15,https://finsecure.example.com,potential-unicorn,78.9,moderate,Series A,25-50,1000000-5000000,2024-12-01
A5K-00013,GreenBuild Materials,Jennifer Wilson,34-5678902,Construction Tech,CO,Denver,2022-03-08,https://greenbuild.example.com,non-unicorn,76.2,moderate,Seed,6-10,100000-500000,2024-12-01
A5K-00014,CloudOps Platform,Raj Kumar,45-6789013,DevOps/Cloud,WA,Seattle,2021-11-19,https://cloudops.example.com,non-unicorn,75.8,moderate,Seed,11-25,500000-1000000,2024-12-01
A5K-00015,FoodTech Delivery,Maria Garcia,56-7890124,Food/Beverage,IL,Chicago,2022-02-25,https://foodtech.example.com,non-unicorn,74.5,moderate,Seed,6-10,100000-500000,2024-12-01
A5K-00016,MediConnect Hub,Thomas Anderson,67-8901235,Healthcare/Biotech,FL,Miami,2021-09-07,https://mediconnect.example.com,non-unicorn,73.9,moderate,Seed,11-25,500000-1000000,2024-12-01
A5K-00017,AutoDrive Systems,Sophie Laurent,78-9012346,Automotive Tech,CA,San Jose,2022-04-12,https://autodrive.example.com,non-unicorn,73.2,moderate,Seed,11-25,500000-1000000,2024-12-01
A5K-00018,EcoPackaging Co,Daniel Brown,89-0123457,Sustainability,OR,Portland,2021-12-20,https://ecopackaging.example.com,non-unicorn,72.5,moderate,Seed,6-10,100000-500000,2024-12-01
A5K-00019,VirtualEvent Pro,Rachel Green,90-1234568,Event Tech,GA,Atlanta,2022-01-15,https://virtualevent.example.com,non-unicorn,71.8,moderate,Seed,6-10,100000-500000,2024-12-01
A5K-00020,SmartHome Solutions,William Davis,12-3456787,IoT/Smart Home,TX,Dallas,2021-10-28,https://smarthome.example.com,non-unicorn,71.1,moderate,Seed,11-25,500000-1000000,2024-12-01
A5K-00021,BioFuel Innovations,Emma Johnson,23-4567892,CleanTech/Energy,MN,Minneapolis,2022-03-22,https://biofuel.example.com,non-unicorn,70.4,moderate,Seed,6-10,100000-500000,2024-12-01
A5K-00022,RetailAI Analytics,Hassan Ahmed,34-5678903,Retail Tech,NJ,Newark,2021-11-05,https://retailai.example.com,non-unicorn,69.7,moderate,Seed,11-25,500000-1000000,2024-12-01
A5K-00023,TravelTech Connect,Olivia Martinez,45-6789014,Travel/Tourism,FL,Orlando,2022-02-10,https://traveltech.example.com,non-unicorn,69.0,moderate,Seed,6-10,100000-500000,2024-12-01
A5K-00024,CyberShield Defense,Matthew Wilson,56-7890125,Cybersecurity,MD,Baltimore,2021-08-30,https://cybershield.example.com,non-unicorn,68.3,moderate,Seed,11-25,500000-1000000,2024-12-01
A5K-00025,PropTech Ventures,Isabella Rodriguez,67-8901236,Real Estate Tech,CA,San Diego,2022-04-05,https://proptech.example.com,non-unicorn,67.6,moderate,Seed,6-10,100000-500000,2024-12-01
A5K-00026,HealthData Systems,Christopher Lee,78-9012347,Healthcare/Biotech,MA,Boston,2021-12-12,https://healthdata.example.com,non-unicorn,66.9,slow,Seed,11-25,500000-1000000,2024-12-01
A5K-00027,LogiChain Pro,Sophia Zhang,89-0123458,Supply Chain,WI,Milwaukee,2022-01-28,https://logichain.example.com,non-unicorn,66.2,slow,Seed,6-10,100000-500000,2024-12-01
A5K-00028,FinPlan Advisor,James Taylor,90-1234569,FinTech,PA,Philadelphia,2021-09-18,https://finplan.example.com,non-unicorn,65.5,slow,Seed,6-10,100000-500000,2024-12-01
